District Number,District,School,Address,Latitude,Longitude,Test-takers: 2012,Test-takers: 2013,Test-takers: Change%,Participation Rate (estimate): 2012,Participation Rate (estimate): 2013,Participation Rate (estimate): Change%,Percent Meeting Benchmark: 2012,Percent Meeting Benchmark: 2013,Percent Meeting Benchmark: Change%
436311,East Hartford,Connecticut International Baccalaureate Academy,"Connecticut International Baccalaureate Academy, CT",41.7542869,-72.6061475,33,32,-0.03,0.92,0.89,-0.03,0.52,0.59,0.07
446111,East Haven,East Haven High School,"East Haven High School, CT",41.329034,-72.83221,134,145,0.08,0.71,0.77,0.06,0.25,0.20,-0.05
456111,East Lyme,East Lyme High School,"East Lyme High School, CT",41.3693373,-72.2127308,210,238,0.13,0.70,0.79,0.09,0.59,0.67,0.08
476111,East Windsor,East Windsor High School,"East Windsor High School, CT",41.9011308,-72.6116366,62,62,0.00,0.76,0.76,0.00,0.34,0.32,-0.02
486111,Ellington,Ellington High School,"Ellington High School, CT",41.9096994,-72.4619707,151,151,0.00,0.78,0.78,0.00,0.53,0.51,-0.02
496111,Enfield,Enfield High School,"Enfield High School, CT",41.9786588,-72.5965511,115,101,-0.12,0.64,0.56,-0.08,0.36,0.30,-0.06
496211,Enfield,Enrico Fermi High School,"Enrico Fermi High School, CT",41.9786588,-72.5965511,178,165,-0.07,0.64,0.60,-0.04,0.38,0.39,0.01
516011,Fairfield,Fairfield Ludlowe High School,"Fairfield Ludlowe High School, CT",41.1495,-73.263421,317,323,0.02,0.89,0.91,0.02,0.62,0.66,0.04
516211,Fairfield,Fairfield Warde High School,"Fairfield Warde High School, CT",41.186856,-73.234124,275,255,-0.07,0.81,0.75,-0.06,0.61,0.60,-0.01
526111,Farmington,Farmington Senior High School,"Farmington Senior High School, CT",41.7510611,-72.8683481,269,282,0.05,0.92,0.97,0.05,0.59,0.68,0.09
546111,Glastonbury,Glastonbury High School,"Glastonbury High School, CT",41.7015655,-72.5936241,459,508,0.11,0.90,1.00,0.10,0.74,0.73,-0.01
566111,Granby,Granby Memorial High School,"Granby Memorial High School, CT",41.9598745,-72.7926472,173,181,0.05,0.92,0.96,0.04,0.66,0.65,-0.01
576111,Greenwich,Greenwich High School,"Greenwich High School, CT",41.0397676,-73.6122393,559,604,0.08,0.87,0.94,0.07,0.69,0.69,0.00
586211,Griswold,Griswold High School,"Griswold High School, CT",41.5953532,-71.981407,104,105,0.01,0.60,0.61,0.01,0.34,0.37,0.03
596111,Groton,Robert E Fitch Senior High School,"Robert E Fitch Senior High School, CT",41.3403414,-72.0129565,227,222,-0.02,0.72,0.70,-0.02,0.44,0.37,-0.07
606111,Guilford,Guilford High School,"Guilford High School, CT",41.3131182,-72.7122669,260,253,-0.03,0.89,0.87,-0.02,0.61,0.68,0.07
626111,Hamden,Hamden High School,"Hamden High School, CT",41.367806,-72.9223406,368,340,-0.08,0.81,0.75,-0.06,0.29,0.28,-0.01
646011,Hartford,Culinary Arts Academy,"Culinary Arts Academy, CT",41.8002885,-72.7084163,30,44,0.47,0.71,1.00,0.29,0.00,0.00,0.00
646411,Hartford,Classical Magnet School,"Classical Magnet School, CT",41.7731556,-72.7014245,82,91,0.11,0.98,1.00,0.02,0.20,0.24,0.04
646511,Hartford,Sport and Medical Science Academy,"Sport and Medical Science Academy, CT",41.7527771,-72.660141,89,91,0.02,0.90,0.92,0.02,0.20,0.14,-0.06
646611,Hartford,Pathways of Technology Magnet School,"Pathways of Technology Magnet School, CT",41.7406562,-72.6349869,66,67,0.02,0.81,0.83,0.02,0.09,0.09,0.00
646711,Hartford,University High School of Science and Engineering,"University High School of Science and Engineering, CT",41.7964781,-72.7096237,78,97,0.24,1.00,1.00,0.00,0.19,0.30,0.11
646911,Hartford,Capitol Preparatory magnet School,"Capitol Preparatory magnet School, CT",41.7726195,-72.6756774,34,38,0.12,0.97,1.00,0.03,0.06,0.13,0.07
647111,Hartford,Bulkeley High School Upper,"Bulkeley High School Upper, CT",41.7478466,-72.672916,169,163,-0.04,0.83,0.80,-0.03,0.02,0.02,0.00
647211,Hartford,Hartford Public High School Engineering and Green Technology Academy,"Hartford Public High School Engineering and Green Technology Academy, CT",41.7652258,-72.7010105,82,96,0.17,0.76,0.89,0.13,0.00,0.01,0.01
647411,Hartford,HPHS Law and Government Academy,"HPHS Law and Government Academy, CT",41.7650343,-72.7012709,75,101,0.35,0.97,1.00,0.03,0.01,0.05,0.04
647511,Hartford,HPHS Nursing Academy,"HPHS Nursing Academy, CT",41.7652258,-72.7010105,77,102,0.32,0.92,1.00,0.08,0.05,0.00,-0.05
647611,Hartford,High School Inc.,"High School Inc., CT",41.767257,-72.6781972,28,77,1.75,0.76,1.00,0.24,0.00,0.03,0.03
647711,Hartford,Journalism and Media High School,"Journalism and Media High School, CT",41.7979146,-72.6699439,77,56,-0.27,1.00,0.78,-0.22,0.01,0.04,0.03
647811,Hartford,OPPortunity High School,"OPPortunity High School, CT",41.7749616,-72.6883505,38,46,0.21,1.00,1.00,0.00,0.00,0.02,0.02
696111,Killingly,Killingly High School,"Killingly High School, CT",41.8599411,-71.8732905,93,93,0.00,0.57,0.57,0.00,0.28,0.39,0.11
716211,Lebanon,Lyman Memorial High School,"Lyman Memorial High School, CT",41.6224764,-72.2391093,87,84,-0.03,0.73,0.71,-0.02,0.49,0.45,-0.04
726111,Ledyard,Ledyard High School,"Ledyard High School, CT",41.43796,-71.9952506,144,164,0.14,0.71,0.81,0.10,0.47,0.51,0.04
